file,algo,n,seed_idx,fidelity,noise_impact,transpile_s,sim_s,error
ghz_indep_none_5_s0.qasm,ghz,5,0,0.8338876880979844,0.16611231190201559,0.08,1.023,
ghz_indep_none_6_s0.qasm,ghz,6,0,0.6856305812918967,0.3143694187081033,0.083,0.924,
ghz_indep_none_7_s0.qasm,ghz,7,0,0.6688808282129161,0.33111917178708394,0.078,1.041,
ghz_indep_none_8_s0.qasm,ghz,8,0,0.6318265037955864,0.36817349620441364,0.223,1.022,
ghz_indep_none_9_s0.qasm,ghz,9,0,0.6122194326927147,0.3877805673072853,0.082,0.882,
graphstate_indep_none_10_s0.qasm,graphstate,10,0,0.33923970582815344,0.6607602941718466,0.081,1.356,
graphstate_indep_none_10_s1.qasm,graphstate,10,1,0.3383380301515523,0.6616619698484477,0.08,1.292,
graphstate_indep_none_10_s2.qasm,graphstate,10,2,0.35247687875601713,0.6475231212439829,0.087,1.265,
graphstate_indep_none_11_s0.qasm,graphstate,11,0,0.15151516047560337,0.8484848395243967,0.083,1.661,
graphstate_indep_none_11_s1.qasm,graphstate,11,1,0.13769084130718215,0.8623091586928179,0.083,1.627,
graphstate_indep_none_11_s2.qasm,graphstate,11,2,0.1543557917499084,0.8456442082500916,0.082,1.971,
graphstate_indep_none_12_s0.qasm,graphstate,12,0,0.04779398704771213,0.9522060129522879,0.081,2.966,
graphstate_indep_none_12_s1.qasm,graphstate,12,1,0.053846853767344306,0.9461531462326557,0.079,2.924,
graphstate_indep_none_12_s2.qasm,graphstate,12,2,0.05475711084188225,0.9452428891581177,0.088,2.74,
graphstate_indep_none_3_s0.qasm,graphstate,3,0,0.9998329665242378,0.00016703347576219052,0.081,1.171,
graphstate_indep_none_4_s0.qasm,graphstate,4,0,0.9993072603712823,0.0006927396287177423,0.09,1.192,
graphstate_indep_none_4_s2.qasm,graphstate,4,2,0.9993072603712823,0.0006927396287177423,0.103,1.056,
graphstate_indep_none_5_s0.qasm,graphstate,5,0,0.998346575677411,0.00165342432258897,0.085,0.959,
graphstate_indep_none_5_s1.qasm,graphstate,5,1,0.998346575677411,0.00165342432258897,0.082,0.845,
graphstate_indep_none_5_s2.qasm,graphstate,5,2,0.998346575677411,0.00165342432258897,0.084,0.929,
graphstate_indep_none_6_s0.qasm,graphstate,6,0,0.9921236289464792,0.007876371053520792,0.213,0.981,
graphstate_indep_none_6_s1.qasm,graphstate,6,1,0.9918209422586113,0.008179057741388718,0.084,0.887,
graphstate_indep_none_6_s2.qasm,graphstate,6,2,0.9917590547753774,0.008240945224622598,0.087,0.97,
graphstate_indep_none_7_s0.qasm,graphstate,7,0,0.9786699980957442,0.021330001904255824,0.087,1.022,
graphstate_indep_none_7_s1.qasm,graphstate,7,1,0.9779055219602373,0.02209447803976272,0.085,0.997,
graphstate_indep_none_7_s2.qasm,graphstate,7,2,0.977938903059385,0.022061096940614977,0.083,0.993,
graphstate_indep_none_8_s0.qasm,graphstate,8,0,0.9413216389370108,0.05867836106298918,0.086,1.016,
graphstate_indep_none_8_s1.qasm,graphstate,8,1,0.9414512810138245,0.05854871898617553,0.079,0.903,
graphstate_indep_none_8_s2.qasm,graphstate,8,2,0.9488153740707729,0.05118462592922712,0.079,0.939,
graphstate_indep_none_9_s0.qasm,graphstate,9,0,0.8100785053575551,0.1899214946424449,0.079,0.93,
graphstate_indep_none_9_s1.qasm,graphstate,9,1,0.8107625872275032,0.18923741277249684,0.076,1.012,
graphstate_indep_none_9_s2.qasm,graphstate,9,2,0.8076713412851956,0.19232865871480442,0.087,1.258,
grover_indep_none_10_s0.qasm,grover,10,0,,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18
grover_indep_none_10_s1.qasm,grover,10,1,,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18
grover_indep_none_10_s2.qasm,grover,10,2,,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18
grover_indep_none_11_s0.qasm,grover,11,0,,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26
grover_indep_none_11_s1.qasm,grover,11,1,,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26
grover_indep_none_11_s2.qasm,grover,11,2,,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26
