file,algo,n,seed_idx,fidelity,noise_impact,fidelity_se,js,tv,kl,chi_square_p,at_floor,pool_factor,transpile_s,sim_s,error,at_floor_chi_only
graphstate_indep_none_7_s2.qasm,graphstate,7,2,0.977938903059385,0.0220610969406149,0.00696,0.01099,0.11035,0.04443,0.7155,False,1.0,0.221,0.915,,True
graphstate_indep_none_8_s0.qasm,graphstate,8,0,0.9413216389370108,0.0586783610629891,0.01168,0.02808,0.17188,0.18617,0.45225,False,2.0,0.079,1.022,,True
graphstate_indep_none_8_s1.qasm,graphstate,8,1,0.9414512810138244,0.0585487189861755,0.01187,0.02801,0.17188,0.18593,0.52098,False,2.0,0.079,0.955,,True
graphstate_indep_none_8_s2.qasm,graphstate,8,2,0.9488153740707728,0.0511846259292271,0.01099,0.02456,0.15723,0.15574,0.53357,False,2.0,0.087,0.987,,True
graphstate_indep_none_9_s0.qasm,graphstate,9,0,0.8100785053575551,0.1899214946424449,0.01397,0.08019,0.25586,1.36159,0.44977,False,3.0,0.08,1.057,,True
graphstate_indep_none_9_s1.qasm,graphstate,9,1,0.8107625872275032,0.1892374127724968,0.0145,0.08009,0.25684,1.32411,0.49279,False,3.0,0.157,2.578,,True
graphstate_indep_none_9_s2.qasm,graphstate,9,2,0.8076713412851956,0.1923286587148044,0.01552,0.08136,0.25977,1.32963,0.44977,False,3.0,0.117,2.325,,True
grover_indep_none_10_s0.qasm,grover,10,0,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18,False
grover_indep_none_10_s1.qasm,grover,10,1,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18,False
grover_indep_none_10_s2.qasm,grover,10,2,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=19 size=37 2q=0 multiq=18,False
grover_indep_none_11_s0.qasm,grover,11,0,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26,False
grover_indep_none_11_s1.qasm,grover,11,1,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26,False
grover_indep_none_11_s2.qasm,grover,11,2,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=27 size=47 2q=0 multiq=26,False
grover_indep_none_12_s0.qasm,grover,12,0,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=37 size=59 2q=0 multiq=36,False
grover_indep_none_12_s1.qasm,grover,12,1,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=37 size=59 2q=0 multiq=36,False
grover_indep_none_12_s2.qasm,grover,12,2,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=37 size=59 2q=0 multiq=36,False
grover_indep_none_3_s0.qasm,grover,3,0,0.9267578125,0.0732421875,0.00877,0.02608,0.07324,0.07606,0.0,False,1.0,0.063,0.792,,False
grover_indep_none_4_s0.qasm,grover,4,0,0.932171488131944,0.067828511868056,0.00901,0.02904,0.12891,0.0934,0.0,False,1.0,0.08,0.944,,False
grover_indep_none_5_s0.qasm,grover,5,0,0.828267244669721,0.1717327553302789,0.01071,0.07556,0.24707,0.23978,0.0,False,1.0,0.091,0.979,,False
grover_indep_none_6_s0.qasm,grover,6,0,0.4769740519266053,0.5230259480733946,0.01458,0.2303,0.5293,0.74963,0.0,False,1.0,0.108,1.228,,False
grover_indep_none_7_s0.qasm,grover,7,0,0.1698707233587212,0.8301292766412788,0.01134,0.4513,0.83105,1.78165,0.0,False,1.0,0.174,2.981,,False
grover_indep_none_7_s1.qasm,grover,7,1,0.1698707233587212,0.8301292766412788,0.01342,0.4513,0.83105,1.78165,0.0,False,1.0,0.165,3.223,,False
grover_indep_none_7_s2.qasm,grover,7,2,0.1698707233587212,0.8301292766412788,0.0114,0.4513,0.83105,1.78165,0.0,False,1.0,0.177,2.905,,False
grover_indep_none_8_s0.qasm,grover,8,0,0.0163753052951721,0.9836246947048278,0.00448,0.65075,0.98242,4.14702,0.0,False,2.0,0.254,3.411,,False
grover_indep_none_8_s1.qasm,grover,8,1,0.0163753052951721,0.9836246947048278,0.00421,0.65075,0.98242,4.14702,0.0,False,2.0,0.252,3.321,,False
grover_indep_none_8_s2.qasm,grover,8,2,0.0163753052951721,0.9836246947048278,0.00367,0.65075,0.98242,4.14702,0.0,False,2.0,0.275,3.46,,False
grover_indep_none_9_s0.qasm,grover,9,0,0.0,1.0,0.0,0.69315,1.0,27.63102,0.09104,True,3.0,0.543,19.951,,True
grover_indep_none_9_s1.qasm,grover,9,1,0.0,1.0,0.0,0.69315,1.0,27.63102,0.09104,True,3.0,0.567,19.927,,True
grover_indep_none_9_s2.qasm,grover,9,2,0.0,1.0,0.0,0.69315,1.0,27.63102,0.09104,True,3.0,0.575,19.611,,True
qaoa_indep_none_10_s0.qasm,qaoa,10,0,0.4435091506546108,0.5564908493453892,0.01357,0.24443,0.48438,5.51924,0.0,False,5.0,0.072,2.128,,False
qaoa_indep_none_11_s0.qasm,qaoa,11,0,0.2585105305984722,0.7414894694015278,0.01097,0.34994,0.59668,9.1687,0.0,False,10.0,0.062,3.598,,False
qaoa_indep_none_12_s0.qasm,qaoa,12,0,0.1345543608736833,0.8654456391263167,0.00624,0.44461,0.70117,12.65738,0.0,False,20.0,0.063,8.313,,False
qaoa_indep_none_3_s0.qasm,qaoa,3,0,0.9967195221974348,0.0032804778025652,0.00184,0.00164,0.03223,0.00619,0.0,False,1.0,0.057,0.869,,False
qaoa_indep_none_4_s0.qasm,qaoa,4,0,0.9966289593277664,0.0033710406722334,0.00224,0.00168,0.03223,0.00637,0.0,False,1.0,0.072,1.152,,False
qaoa_indep_none_5_s0.qasm,qaoa,5,0,0.9901530636007538,0.0098469363992461,0.00356,0.00489,0.06934,0.01832,0.0,False,1.0,0.074,0.877,,False
qaoa_indep_none_6_s0.qasm,qaoa,6,0,0.9777301956407304,0.0222698043592697,0.00503,0.01102,0.10156,0.04158,0.0,False,1.0,0.068,0.776,,False
qaoa_indep_none_7_s0.qasm,qaoa,7,0,0.9304731121084212,0.0695268878915789,0.00979,0.03048,0.15918,0.14482,0.0,False,1.0,0.067,0.865,,False
qaoa_indep_none_8_s0.qasm,qaoa,8,0,0.8248437925046261,0.1751562074953738,0.01247,0.07271,0.24414,0.74949,0.0,False,2.0,0.071,0.885,,False
qaoa_indep_none_9_s0.qasm,qaoa,9,0,0.7436585682872959,0.256341431712704,0.01238,0.10371,0.27734,1.63535,0.0,False,3.0,0.082,0.844,,False
qft_indep_none_10_s0.qasm,qft,10,0,0.3401105583484587,0.6598894416515413,0.01075,0.29818,0.53027,8.5524,0.22424,False,5.0,0.071,1.968,,True
qft_indep_none_11_s0.qasm,qft,11,0,0.1520111946466033,0.8479888053533966,0.00651,0.42708,0.66602,12.43262,0.55813,False,10.0,0.06,3.431,,True
qft_indep_none_12_s0.qasm,qft,12,0,0.0397227866735884,0.9602772133264116,0.00263,0.55627,0.82031,16.52292,0.46715,True,20.0,0.055,8.019,,True
qft_indep_none_3_s0.qasm,qft,3,0,0.9998971078254836,0.0001028921745165,0.00098,5e-05,0.00977,0.00021,0.06695,False,1.0,0.054,0.838,,True
qft_indep_none_4_s0.qasm,qft,4,0,0.9992834814897196,0.0007165185102804,0.00172,0.00036,0.02148,0.00144,0.63605,False,1.0,0.066,0.841,,True
qft_indep_none_5_s0.qasm,qft,5,0,0.9985853313442512,0.0014146686557486,0.00241,0.00071,0.02832,0.00283,0.07698,False,1.0,0.068,0.866,,True
qft_indep_none_6_s0.qasm,qft,6,0,0.9894634946118924,0.0105365053881076,0.00436,0.00527,0.08594,0.02127,0.57495,False,1.0,0.067,0.715,,True
qft_indep_none_7_s0.qasm,qft,7,0,0.9796620968817822,0.0203379031182178,0.00609,0.01016,0.1123,0.04094,0.31809,False,1.0,0.061,0.874,,True
qft_indep_none_8_s0.qasm,qft,8,0,0.947805173161952,0.0521948268380478,0.01,0.0248,0.15918,0.2114,0.27144,False,2.0,0.064,0.822,,True
qft_indep_none_9_s0.qasm,qft,9,0,0.8033082195574219,0.196691780442578,0.01352,0.08236,0.26172,1.44483,0.8662,False,3.0,0.064,0.892,,True
qftentangled_indep_none_10_s0.qasm,qftentangled,10,0,0.4314795311838809,0.5685204688161191,0.0122,0.24971,0.48828,5.99949,0.0,False,5.0,0.064,2.005,,False
qftentangled_indep_none_11_s0.qasm,qftentangled,11,0,0.1971044106869251,0.8028955893130749,0.00729,0.3921,0.63867,11.26277,0.0,False,10.0,0.056,3.923,,False
qftentangled_indep_none_12_s0.qasm,qftentangled,12,0,0.0628943336539258,0.9371056663460742,0.00354,0.52109,0.77539,15.50828,0.0,False,20.0,0.057,8.58,,False
qftentangled_indep_none_3_s0.qasm,qftentangled,3,0,0.9704301412014052,0.0295698587985947,0.00477,0.01129,0.0625,0.03541,0.0,False,1.0,0.067,0.872,,False
qftentangled_indep_none_4_s0.qasm,qftentangled,4,0,0.9707956622146188,0.0292043377853811,0.00515,0.01268,0.08008,0.04232,0.0,False,1.0,0.074,0.838,,False
qftentangled_indep_none_5_s0.qasm,qftentangled,5,0,0.9396539768092472,0.0603460231907527,0.00778,0.02438,0.11816,0.07857,0.0,False,1.0,0.078,0.916,,False
qftentangled_indep_none_6_s0.qasm,qftentangled,6,0,0.9380435331281902,0.0619564668718097,0.00769,0.02624,0.13965,0.08771,0.0,False,1.0,0.071,0.846,,False
qftentangled_indep_none_7_s0.qasm,qftentangled,7,0,0.8970359731075515,0.1029640268924485,0.01187,0.04154,0.16504,0.13955,0.0,False,1.0,0.068,0.903,,False
qftentangled_indep_none_8_s0.qasm,qftentangled,8,0,0.8528547034781486,0.1471452965218513,0.01397,0.06238,0.22656,0.34045,0.0,False,2.0,0.066,0.865,,False
qftentangled_indep_none_9_s0.qasm,qftentangled,9,0,0.707723856256383,0.292276143743617,0.01547,0.1233,0.33008,1.63669,0.0,False,3.0,0.063,0.79,,False
qnn_indep_none_10_s0.qasm,qnn,10,0,0.6173416592652141,0.3826583407347859,0.01375,0.16182,0.38379,2.38676,0.0,False,5.0,0.059,1.129,,False
qnn_indep_none_11_s0.qasm,qnn,11,0,0.572869472782373,0.427130527217627,0.01292,0.17833,0.38477,3.74433,0.0,False,10.0,0.064,1.535,,False
qnn_indep_none_12_s0.qasm,qnn,12,0,0.4516036690329612,0.5483963309670388,0.013,0.23827,0.47168,5.15715,0.0,False,20.0,0.054,2.601,,False
qnn_indep_none_3_s0.qasm,qnn,3,0,0.9982211313131238,0.0017788686868761,0.00147,0.00089,0.03516,0.00349,0.0,False,1.0,0.064,0.823,,False
qnn_indep_none_4_s0.qasm,qnn,4,0,0.9821659127335236,0.0178340872664765,0.00427,0.00765,0.06055,0.02557,0.0,False,1.0,0.071,0.859,,False
qnn_indep_none_5_s0.qasm,qnn,5,0,0.9786970732357692,0.0213029267642308,0.00402,0.00967,0.08105,0.05169,0.0,False,1.0,0.068,0.858,,False
qnn_indep_none_6_s0.qasm,qnn,6,0,0.9201042893469392,0.0798957106530607,0.00864,0.03642,0.18262,0.14076,0.0,False,1.0,0.067,0.824,,False
qnn_indep_none_7_s0.qasm,qnn,7,0,0.8956773133567328,0.1043226866432671,0.01008,0.04292,0.18359,0.38253,0.0,False,1.0,0.057,0.86,,False
qnn_indep_none_8_s0.qasm,qnn,8,0,0.8658542616433935,0.1341457383566064,0.01135,0.05369,0.19531,0.58813,0.0,False,2.0,0.063,0.683,,False
qnn_indep_none_9_s0.qasm,qnn,9,0,0.7934314566477343,0.2065685433522657,0.01183,0.08069,0.21875,1.65823,0.0,False,3.0,0.064,0.803,,False
qpeexact_indep_none_10_s0.qasm,qpeexact,10,0,0.611328125,0.388671875,0.0,0.15837,0.38867,0.49212,0.0,False,5.0,0.073,1.758,,False
qpeexact_indep_none_11_s0.qasm,qpeexact,11,0,0.5849609374999999,0.4150390625000001,0.0,0.17133,0.41504,0.53621,0.0,False,10.0,0.062,3.315,,False
qpeexact_indep_none_12_s0.qasm,qpeexact,12,0,0.5595703125000001,0.4404296874999999,0.0,0.18416,0.44043,0.58059,0.0,False,20.0,0.077,7.601,,False
qpeexact_indep_none_3_s0.qasm,qpeexact,3,0,0.939453125,0.0605468749999998,0.0,0.02146,0.06055,0.06246,0.0,False,1.0,0.072,0.941,,False
qpeexact_indep_none_4_s0.qasm,qpeexact,4,0,0.935546875,0.0644531250000001,0.0,0.02287,0.06445,0.06662,0.0,False,1.0,0.075,0.873,,False
qpeexact_indep_none_5_s0.qasm,qpeexact,5,0,0.9013671875,0.0986328124999998,0.0,0.03546,0.09863,0.10384,0.0,False,1.0,0.071,0.779,,False
qpeexact_indep_none_6_s0.qasm,qpeexact,6,0,0.8828125,0.1171875,0.0,0.04244,0.11719,0.12464,0.0,False,1.0,0.198,0.777,,False
qpeexact_indep_none_7_s0.qasm,qpeexact,7,0,0.7119140625,0.2880859375,0.0,0.11202,0.28809,0.3398,0.0,False,1.0,0.074,0.865,,False
qpeexact_indep_none_8_s0.qasm,qpeexact,8,0,0.681640625,0.318359375,0.0,0.12549,0.31836,0.38325,0.0,False,2.0,0.062,0.852,,False
qpeexact_indep_none_9_s0.qasm,qpeexact,9,0,0.669921875,0.330078125,0.0,0.13082,0.33008,0.40059,0.0,False,3.0,0.063,0.883,,False
qpeinexact_indep_none_10_s0.qasm,qpeinexact,10,0,0.6620587091842648,0.3379412908157352,0.0,0.14429,0.38867,0.72195,0.0,False,5.0,0.063,2.187,,False
qpeinexact_indep_none_11_s0.qasm,qpeinexact,11,0,0.6581944744554723,0.3418055255445277,0.0,0.14305,0.375,0.63651,0.0,False,10.0,0.066,3.418,,False
qpeinexact_indep_none_12_s0.qasm,qpeinexact,12,0,0.5921734759905524,0.4078265240094476,0.0,0.17111,0.42969,0.71675,0.0,False,20.0,0.068,8.051,,False
qpeinexact_indep_none_3_s0.qasm,qpeinexact,3,0,0.995223234722832,0.0047767652771679,0.0,0.00239,0.04785,0.00912,0.0,False,1.0,0.058,0.875,,False
qpeinexact_indep_none_4_s0.qasm,qpeinexact,4,0,0.992518767881954,0.0074812321180458,0.0,0.00371,0.04883,0.01357,0.0,False,1.0,0.069,0.862,,False
qpeinexact_indep_none_5_s0.qasm,qpeinexact,5,0,0.9818241698186492,0.0181758301813508,0.0,0.00873,0.0625,0.03004,0.0,False,1.0,0.069,0.727,,False
qpeinexact_indep_none_6_s0.qasm,qpeinexact,6,0,0.940699050167636,0.0593009498323638,0.0,0.02695,0.12891,0.08829,0.0,False,1.0,0.068,0.824,,False
qpeinexact_indep_none_7_s0.qasm,qpeinexact,7,0,0.9109590726178868,0.0890409273821132,0.0,0.03635,0.13379,0.34251,0.0,False,1.0,0.061,0.88,,False
qpeinexact_indep_none_8_s0.qasm,qpeinexact,8,0,0.8189586798234156,0.1810413201765843,0.0,0.07806,0.2832,0.55583,0.0,False,2.0,0.062,0.845,,False
qpeinexact_indep_none_9_s0.qasm,qpeinexact,9,0,0.74747226267089,0.25252773732911,0.0,0.10993,0.33203,0.54126,0.0,False,3.0,0.062,0.883,,False
qwalk_indep_none_10_s0.qasm,qwalk,10,0,0.007107226590543,0.9928927734094568,0.00282,0.66839,0.99023,5.2855,0.00016,False,5.0,0.3,46.862,,False
qwalk_indep_none_11_s0.qasm,qwalk,11,0,0.0037090701556353,0.9962909298443646,0.00141,0.67701,0.99414,10.27961,0.03528,False,10.0,0.379,123.665,,False
qwalk_indep_none_12_s0.qasm,qwalk,12,0,,,,,,,,False,,,,TIMEOUT[noisy_sim] depth=7257 size=9794 2q=4086 multiq=631,False
qwalk_indep_none_3_s0.qasm,qwalk,3,0,0.8670325716940139,0.132967428305986,0.01007,0.04848,0.13281,0.14286,0.0,False,1.0,0.053,0.876,,False
qwalk_indep_none_4_s0.qasm,qwalk,4,0,0.7044240426676306,0.2955759573323694,0.0141,0.11628,0.29492,0.35897,0.0,False,1.0,0.075,0.948,,False
qwalk_indep_none_5_s0.qasm,qwalk,5,0,0.2929820696192676,0.7070179303807325,0.01269,0.34738,0.70312,1.23991,0.0,False,1.0,0.082,0.923,,False
qwalk_indep_none_6_s0.qasm,qwalk,6,0,0.2197349551660566,0.7802650448339434,0.01265,0.40548,0.77051,1.55446,0.0,False,1.0,0.156,1.378,,False
qwalk_indep_none_7_s0.qasm,qwalk,7,0,0.1164470222652465,0.8835529777347534,0.01029,0.50548,0.87793,2.19151,0.0,False,1.0,0.182,3.288,,False
qwalk_indep_none_8_s0.qasm,qwalk,8,0,0.0852903683619411,0.9147096316380589,0.00865,0.54294,0.91211,2.48981,0.0,False,2.0,0.182,2.426,,False
qwalk_indep_none_9_s0.qasm,qwalk,9,0,0.0180217231746365,0.9819782768253634,0.00401,0.64543,0.97949,4.14444,2e-05,False,3.0,0.22,7.431,,False
randomcircuit_indep_none_10_s0.qasm,randomcircuit,10,0,0.5902710158412137,0.4097289841587863,0.01584,0.17193,0.41113,0.87019,0.0,False,5.0,0.111,4.467,,False
randomcircuit_indep_none_11_s0.qasm,randomcircuit,11,0,0.2761480736233408,0.7238519263766592,0.01216,0.34089,0.59961,7.73101,0.0,False,10.0,0.125,10.139,,False
randomcircuit_indep_none_12_s0.qasm,randomcircuit,12,0,0.1745444488605554,0.8254555511394446,0.00804,0.41189,0.6748,10.76147,0.0,False,20.0,0.104,21.912,,False
randomcircuit_indep_none_3_s0.qasm,randomcircuit,3,0,0.9208254704296178,0.0791745295703821,0.00896,0.02827,0.0791,0.08256,0.0,False,1.0,0.069,0.902,,False
randomcircuit_indep_none_4_s0.qasm,randomcircuit,4,0,0.8619302163858532,0.1380697836141468,0.00965,0.05309,0.19141,0.16467,0.0,False,1.0,0.081,0.808,,False
randomcircuit_indep_none_5_s0.qasm,randomcircuit,5,0,0.8668635684653733,0.1331364315346267,0.0135,0.04901,0.14941,0.14628,0.0,False,1.0,0.089,0.801,,False
randomcircuit_indep_none_6_s0.qasm,randomcircuit,6,0,0.6973339355978755,0.3026660644021245,0.01357,0.11916,0.29785,0.36734,0.0,False,1.0,0.078,0.826,,False
randomcircuit_indep_none_7_s0.qasm,randomcircuit,7,0,0.7326894566518767,0.2673105433481233,0.01279,0.10635,0.29883,0.36886,0.0,False,1.0,0.088,1.021,,False
randomcircuit_indep_none_8_s0.qasm,randomcircuit,8,0,0.5577128001932199,0.4422871998067801,0.01691,0.18676,0.44141,0.60392,0.0,False,2.0,0.082,0.922,,False
randomcircuit_indep_none_9_s0.qasm,randomcircuit,9,0,0.5131092571674938,0.4868907428325062,0.01747,0.21042,0.47949,0.71489,0.0,False,3.0,0.101,1.28,,False
