view,source,stratum,n_features,n_circuits,model,cv,mean_r2,std_r2,ci_lo,ci_hi
MQT+MULT (12),pre,above_floor,12,177,Ridge,shuffled,0.6908080181007502,0.08507921674161632,0.6131728624416294,0.7522255557911551
MQT+MULT (12),pre,above_floor,12,177,Ridge,loao,-3.5099585133688826,7.897207446502371,-11.453510092365086,0.6427721995689927
MQT+MULT (12),pre,above_floor,12,177,RandomForest,shuffled,0.8880316387340578,0.015233460276710345,0.8748367067477003,0.9005317530718304
MQT+MULT (12),pre,above_floor,12,177,RandomForest,loao,0.47893393009545393,0.1743654857168967,0.33292413020338807,0.6339720149769931
MQT+MULT (12),pre,above_floor,12,177,GradientBoosting,shuffled,0.8743989645122262,0.0534391637902078,0.8285054635010407,0.9128958612795663
MQT+MULT (12),pre,above_floor,12,177,GradientBoosting,loao,0.4530144122199701,0.17942577675762358,0.3170071141841626,0.6216789303290098
MQT+MULT (12),pre,above_floor,12,177,CatBoost,shuffled,0.9134326272912856,0.034320533155229184,0.8848453220244081,0.9420199325581631
MQT+MULT (12),pre,above_floor,12,177,CatBoost,loao,0.5092314957141504,0.17433455378878718,0.3464734330470449,0.6505626105931348
MQT+SPECTRAL,pre,all,35,184,Ridge,shuffled,0.7610037548954115,0.03974294301479708,0.7243005163431013,0.7924551891576466
MQT+SPECTRAL,pre,all,35,184,Ridge,loao,-673.2813961269183,1342.7547359836888,-2016.5956012968313,-0.3236262942291803
MQT+SPECTRAL,pre,all,35,184,RandomForest,shuffled,0.909017579543453,0.028821246695648284,0.8833351810155232,0.9322612041427183
MQT+SPECTRAL,pre,all,35,184,RandomForest,loao,0.26086585840383963,0.27652368316513,0.020723227339815888,0.5010084894678635
MQT+SPECTRAL,pre,all,35,184,GradientBoosting,shuffled,0.9158550909470093,0.03892327368643293,0.8789728296463624,0.9467807441341127
MQT+SPECTRAL,pre,all,35,184,GradientBoosting,loao,0.17427909910156533,0.3059400971351955,-0.11662670504214004,0.4261416929935054
MQT+SPECTRAL,pre,all,35,184,CatBoost,shuffled,0.9439747934068807,0.010370092411662321,0.9341636890467209,0.9526985905433257
MQT+SPECTRAL,pre,all,35,184,CatBoost,loao,0.3102371775827528,0.21839242270339743,0.12515661537538159,0.49531773979012395
MQT+SPECTRAL,pre,above_floor,35,177,Ridge,shuffled,0.7195255588897225,0.0259546654675906,0.6962483652807883,0.7405007735039209
MQT+SPECTRAL,pre,above_floor,35,177,Ridge,loao,-194.01246127983956,385.03942408593656,-579.3119547012508,-0.038503673159452446
MQT+SPECTRAL,pre,above_floor,35,177,RandomForest,shuffled,0.8937727066850023,0.0317387017300323,0.8641729473286649,0.9195882029388767
MQT+SPECTRAL,pre,above_floor,35,177,RandomForest,loao,0.375639447004982,0.36175687410680096,0.02693915286940838,0.6782672047072112
MQT+SPECTRAL,pre,above_floor,35,177,GradientBoosting,shuffled,0.8781014184142176,0.06436441558091124,0.8261212777333287,0.930067971735659
MQT+SPECTRAL,pre,above_floor,35,177,GradientBoosting,loao,0.22833065042711037,0.49462506759480424,-0.2684462748179023,0.5881148661720432
MQT+SPECTRAL,pre,above_floor,35,177,CatBoost,shuffled,0.9141305624433066,0.04349337496667909,0.8747850649147283,0.9513970018608051
MQT+SPECTRAL,pre,above_floor,35,177,CatBoost,loao,0.5198688183079097,0.2417945646554247,0.2672385931642539,0.6966412223364975
MQT+ours-pre,pre,all,38,184,Ridge,shuffled,0.76429276861502,0.08040016458973846,0.686975525007108,0.8198619417974969
MQT+ours-pre,pre,all,38,184,Ridge,loao,-455.15069445971415,907.5105848238495,-1363.1861364958493,-0.016263850716194683
MQT+ours-pre,pre,all,38,184,RandomForest,shuffled,0.9065812855954425,0.031070135764876657,0.8801728087913375,0.9314796736727324
MQT+ours-pre,pre,all,38,184,RandomForest,loao,0.250626393248717,0.26442032998819115,0.01978723000083482,0.48146555649659917
MQT+ours-pre,pre,all,38,184,GradientBoosting,shuffled,0.9182636977692912,0.03988314948006324,0.8812550782155348,0.9485252792311727
MQT+ours-pre,pre,all,38,184,GradientBoosting,loao,0.1597686489636938,0.30305877571464074,-0.10452860166954667,0.4149992094050868
MQT+ours-pre,pre,all,38,184,CatBoost,shuffled,0.9469474758600691,0.009306322802768744,0.939075614923409,0.9549253984070445
MQT+ours-pre,pre,all,38,184,CatBoost,loao,0.32928842956266546,0.2919816160234723,0.07081021145796348,0.5877666476673673
MQT+ours-pre,pre,above_floor,38,177,Ridge,shuffled,0.7145188322488034,0.05555498154853326,0.6600387845428219,0.7536035016755435
MQT+ours-pre,pre,above_floor,38,177,Ridge,loao,-15.096717093987532,28.485588890041008,-43.61578694546791,0.03297812890049532
MQT+ours-pre,pre,above_floor,38,177,RandomForest,shuffled,0.8899593941729694,0.03853545943935008,0.853690730537339,0.9200339984478034
MQT+ours-pre,pre,above_floor,38,177,RandomForest,loao,0.3792502161935,0.35731771098209786,0.03284708164474816,0.6750395177138852
MQT+ours-pre,pre,above_floor,38,177,GradientBoosting,shuffled,0.8767244776588587,0.0645870387406127,0.8238249467459295,0.9296240085717878
MQT+ours-pre,pre,above_floor,38,177,GradientBoosting,loao,0.3081960838694529,0.3445395409438844,-0.03021264840769337,0.5837927183867484
MQT+ours-pre,pre,above_floor,38,177,CatBoost,shuffled,0.9167920765152934,0.03642872326633257,0.8893103130013675,0.9485518189591587
MQT+ours-pre,pre,above_floor,38,177,CatBoost,loao,0.5275474413338213,0.2185510096279356,0.32039549641923193,0.6929264091683665
MQT+ours-post,post,all,38,180,Ridge,shuffled,0.7443884217221861,0.049366932627389545,0.694404557778666,0.7802593159378719
MQT+ours-post,post,all,38,180,Ridge,loao,0.5747406685168072,0.3089747121904189,0.25866955832054567,0.7997623977932589
MQT+ours-post,post,all,38,180,RandomForest,shuffled,0.8347808908631829,0.05099756702287939,0.7928051859542039,0.8766829802320604
MQT+ours-post,post,all,38,180,RandomForest,loao,0.6964675049088573,0.1376039858301511,0.5672253374841608,0.8169137156689853
MQT+ours-post,post,all,38,180,GradientBoosting,shuffled,0.8435222048048445,0.034987160520769375,0.8092631323872179,0.8702388370402458
MQT+ours-post,post,all,38,180,GradientBoosting,loao,0.6640727336162275,0.1573307230720618,0.5267735603094378,0.7976204723497233
MQT+ours-post,post,all,38,180,CatBoost,shuffled,0.8577558729002869,0.03001018885973249,0.8308304227810825,0.8806008933984234
MQT+ours-post,post,all,38,180,CatBoost,loao,0.7174959134737008,0.1471284849753624,0.5812833912316546,0.8353111605698516
MQT+ours-post,post,above_floor,38,173,Ridge,shuffled,0.7094427406715685,0.07658010063062386,0.6441932439690599,0.7731773167932257
MQT+ours-post,post,above_floor,38,173,Ridge,loao,-2.776642717647415,5.9607625861580384,-8.582146356565046,0.5861227413212702
MQT+ours-post,post,above_floor,38,173,RandomForest,shuffled,0.7760234878782702,0.08170791210950057,0.701874064858897,0.8465438297098189
MQT+ours-post,post,above_floor,38,173,RandomForest,loao,0.3721482067582504,0.4732370192154891,-0.043534952802174655,0.7183767098970729
MQT+ours-post,post,above_floor,38,173,GradientBoosting,shuffled,0.7656310068553346,0.10143674153729304,0.6770051933675487,0.8495000621405986
MQT+ours-post,post,above_floor,38,173,GradientBoosting,loao,0.37350693285017333,0.42108127452582034,0.007698086153532224,0.689311368400042
MQT+ours-post,post,above_floor,38,173,CatBoost,shuffled,0.7881894697884836,0.08411666015076988,0.7141940606059791,0.862184878970988
MQT+ours-post,post,above_floor,38,173,CatBoost,loao,0.3960774778844226,0.42556767918162597,0.013603015692809884,0.718696882659035
